,Equipo,Posicion,Juegos_Jugados,Diferencia_Goles,Puntos
0,Bayern Munich   ,1,34,67.0,82.0
1,RB Leipzig   ,2,34,27.0,67.0
2,Bor. Dortmund ,3,34,32.0,64.0
3,TSG Hoffenheim ,4,34,27.0,62.0
4,1. FC Köln ,5,34,9.0,49.0
5,Hertha BSC ,6,34,-4.0,49.0
6,SC Freiburg   ,7,34,-18.0,48.0
7,Werder Bremen ,8,34,-3.0,45.0
8,Bor. M'gladbach ,9,34,-4.0,45.0
9,FC Schalke 04 ,10,34,5.0,43.0
10,E. Frankfurt ,11,34,-7.0,42.0
11,Bay. Leverkusen ,12,34,-2.0,41.0
12,FC Augsburg ,13,34,-16.0,38.0
13,Hamburger SV ,14,34,-28.0,38.0
14,1.FSV Mainz 05 ,15,34,-11.0,37.0
15,VfL Wolfsburg ,16,34,-18.0,37.0
16,FC Ingolstadt ,17,34,-21.0,32.0
17,SV Darmstadt 98 ,18,34,-35.0,25.0
