,Equipo,No. Jugadores,Edad Promedio,No. Extranjeros,Valor Total [mil.EUR],Valor Promedio x Jugador [mil.EUR]
0,Bayern Munich ,38,23.7,18,610.25,16.06
1,Bor. Dortmund,35,24.0,19,449.23,12.84
2,Bay. Leverkusen,27,24.3,14,225.4,8.35
3,FC Schalke 04,29,24.6,18,205.2,7.08
4,RB Leipzig,28,23.1,19,200.98,7.18
5,VfL Wolfsburg,33,23.3,19,150.8,4.57
6,Bor. M'gladbach,35,23.6,19,150.18,4.29
7,TSG Hoffenheim,36,23.1,13,123.35,3.43
8,1. FC Köln,38,23.5,18,120.7,3.18
9,Hertha BSC,32,23.9,14,89.85,2.81
10,E. Frankfurt,36,24.0,23,82.3,2.29
11,Werder Bremen,33,24.6,19,78.43,2.38
12,1.FSV Mainz 05,33,24.4,18,76.65,2.32
13,VfB Stuttgart,34,23.8,17,73.88,2.17
14,SC Freiburg,36,24.5,14,72.73,2.02
15,Hamburger SV,34,23.5,16,70.08,2.06
16,FC Augsburg,33,24.6,16,54.38,1.65
17,Hannover 96,30,24.9,13,48.8,1.63
