,Equipo,No. Jugadores,Edad Promedio,No. Extranjeros,Valor Total [mil.EUR],Valor Promedio x Jugador [mil.EUR]
0,Bayern Munich ,32,24.7,15,835.55,26.11
1,Bor. Dortmund,34,23.4,19,376.8,11.08
2,Bay. Leverkusen,31,23.6,16,359.35,11.59
3,RB Leipzig,34,21.6,21,314.45,9.25
4,FC Schalke 04,39,24.1,24,243.9,6.25
5,Bor. M'gladbach,30,24.2,17,191.53,6.38
6,TSG Hoffenheim,38,23.5,21,188.63,4.96
7,VfB Stuttgart,34,23.9,17,159.45,4.69
8,VfL Wolfsburg,36,24.1,21,145.53,4.04
9,E. Frankfurt,47,23.8,29,139.5,2.97
10,Hertha BSC,36,23.5,17,124.6,3.46
11,Werder Bremen,33,24.8,18,110.85,3.36
12,FC Augsburg,40,23.9,19,100.95,2.52
13,Hannover 96,37,24.7,18,98.28,2.66
14,SC Freiburg,34,24.0,9,94.28,2.77
15,1.FSV Mainz 05,35,23.8,19,86.6,2.47
16,F. Düsseldorf,34,25.3,16,47.43,1.39
17,1.FC Nuremberg,29,24.2,11,42.88,1.48
