,Equipo,No. Jugadores,Edad Promedio,No. Extranjeros,Valor Total [mil.EUR],Valor Promedio x Jugador [mil.EUR]
0,Bayern Munich ,33,24.6,17,564.18,17.1
1,Bor. Dortmund,37,23.7,18,329.8,8.91
2,FC Schalke 04,36,23.0,15,213.38,5.93
3,VfL Wolfsburg,30,24.9,18,176.13,5.87
4,Bay. Leverkusen,26,23.9,14,166.55,6.41
5,Hamburger SV,38,24.2,21,114.95,3.03
6,Bor. M'gladbach,27,24.9,14,107.33,3.98
7,TSG Hoffenheim,30,23.4,13,100.03,3.33
8,VfB Stuttgart,30,23.7,16,97.9,3.26
9,Hannover 96,35,24.6,16,78.05,2.23
10,1.FSV Mainz 05,36,23.9,19,76.9,2.14
11,Hertha BSC,30,25.3,16,76.48,2.55
12,E. Frankfurt,30,24.1,14,73.98,2.47
13,Werder Bremen,36,22.9,17,58.58,1.63
14,SC Freiburg,30,24.1,13,56.9,1.9
15,1. FC Köln,27,24.4,14,43.33,1.6
16,FC Augsburg,35,24.6,18,42.43,1.21
17,SC Paderborn,28,25.2,8,22.45,802.0
