,Equipo,Posicion,Juegos_Jugados,Diferencia_Goles,Puntos
0,Bayern Munich   ,1,34,56.0,78.0
1,Bor. Dortmund ,2,34,37.0,76.0
2,RB Leipzig ,3,34,34.0,66.0
3,Bay. Leverkusen ,4,34,17.0,58.0
4,Bor. M'gladbach ,5,34,13.0,55.0
5,VfL Wolfsburg ,6,34,12.0,55.0
6,E. Frankfurt  ,7,34,12.0,54.0
7,Werder Bremen ,8,34,9.0,53.0
8,TSG Hoffenheim ,9,34,18.0,51.0
9,F. Düsseldorf   ,10,34,-16.0,44.0
10,Hertha BSC ,11,34,-8.0,43.0
11,1.FSV Mainz 05 ,12,34,-11.0,43.0
12,SC Freiburg ,13,34,-15.0,36.0
13,FC Schalke 04 ,14,34,-18.0,33.0
14,FC Augsburg ,15,34,-20.0,32.0
15,VfB Stuttgart ,16,34,-38.0,28.0
16,Hannover 96 ,17,34,-40.0,21.0
17,1.FC Nuremberg   ,18,34,-42.0,19.0
