,Equipo,Posicion,Juegos_Jugados,Diferencia_Goles,Puntos
0,Bayern Munich   ,1,34,64.0,84.0
1,FC Schalke 04 ,2,34,16.0,63.0
2,TSG Hoffenheim ,3,34,18.0,55.0
3,Bor. Dortmund  ,4,34,17.0,55.0
4,Bay. Leverkusen ,5,34,14.0,55.0
5,RB Leipzig ,6,34,4.0,53.0
6,VfB Stuttgart   ,7,34,0.0,51.0
7,E. Frankfurt ,8,34,0.0,49.0
8,Bor. M'gladbach ,9,34,-5.0,47.0
9,Hertha BSC ,10,34,-3.0,43.0
10,Werder Bremen ,11,34,-3.0,42.0
11,FC Augsburg ,12,34,-3.0,41.0
12,Hannover 96   ,13,34,-10.0,39.0
13,1.FSV Mainz 05 ,14,34,-14.0,36.0
14,SC Freiburg ,15,34,-24.0,36.0
15,VfL Wolfsburg ,16,34,-12.0,33.0
16,Hamburger SV ,17,34,-24.0,31.0
17,1. FC Köln ,18,34,-35.0,22.0
