ID Votacao,Nome,Partido,Voto,Sim,Não,Obstrução
21775,Bia Kicis         ,PSL-DF,Sim,1,0,0
21775,Caroline de Toni  ,PSL-SC,Sim,1,0,0
21775,Delegado Marcelo  ,PSL-MG,Sim,1,0,0
21775,Delegado Waldir   ,PSL-GO,Sim,1,0,0
21775,FelipeFrancischini,PSL-PR,Sim,1,0,0
21775,Nicoletti         ,PSL-RR,Sim,1,0,0
21775,Coronel Tadeu     ,PSL-SP,Sim,1,0,0
21775,Hiran Gonçalves   ,PP-RR,Sim,1,0,0
21775,Marcelo Aro       ,PP-MG,Sim,1,0,0
21775,Margarete Coelho  ,PP-PI,Sim,1,0,0
21775,Cacá Leão         ,PP-BA,Sim,1,0,0
21775,Pedro Westphalen  ,PP-RS,Sim,1,0,0
21775,Darci de Matos    ,PSD-SC,Sim,1,0,0
21775,Deleg. Éder Mauro ,PSD-PA,Sim,1,0,0
21775,Edilazio Junior   ,PSD-MA,Sim,1,0,0
21775,Fábio Trad        ,PSD-MS,Sim,1,0,0
21775,Stephanes Junior  ,PSD-PR,Sim,1,0,0
21775,Arthur O. Maia    ,DEM-BA,Sim,1,0,0
21775,Bilac Pinto       ,DEM-MG,Sim,1,0,0
21775,Geninho Zuliani   ,DEM-SP,Sim,1,0,0
21775,David Soares      ,DEM-SP,Sim,1,0,0
21775,Alceu Moreira     ,MDB-RS,Sim,1,0,0
21775,Celso Maldaner    ,MDB-SC,Sim,1,0,0
21775,Márcio Biolchi    ,MDB-RS,Sim,1,0,0
21775,Darcísio Perondi  ,MDB-RS,Sim,1,0,0
21775,Giovani Cherini   ,PR-RS,Sim,1,0,0
21775,Marcelo Ramos     ,PR-AM,Sim,1,0,0
21775,Sergio Toledo     ,PR-AL,Sim,1,0,0
21775,Vicentinho Júnior ,PR-TO,Sim,1,0,0
21775,João Campos       ,PRB-GO,Sim,1,0,0
21775,João Roma         ,PRB-BA,Sim,1,0,0
21775,Lafayette Andrada ,PRB-MG,Sim,1,0,0
21775,Luizão Goulart    ,PRB-PR,Sim,1,0,0
21775,Eduardo Cury      ,PSDB-SP,Sim,1,0,0
21775,Paulo Abi-Ackel   ,PSDB-MG,Sim,1,0,0
21775,Samuel Moreira    ,PSDB-SP,Sim,1,0,0
21775,Shéridan          ,PSDB-RR,Sim,1,0,0
21775,Paulo Martins     ,PSC-PR,Sim,1,0,0
21775,Maurício Dziedrick,PTB-RS,Não,0,1,0
21775,Afonso Motta      ,PDT-RS,Obstrução,0,0,1
21775,Eduardo Bismarck  ,PDT-CE,Obstrução,0,0,1
21775,Gil Cutrim        ,PDT-MA,Obstrução,0,0,1
21775,Pompeo de Mattos  ,PDT-RS,Obstrução,0,0,1
21775,José Medeiros     ,PODE-MT,Sim,1,0,0
21775,Genecias Noronha  ,SOLIDARIEDADE-CE,Sim,1,0,0
21775,Paulo Pereira     ,SOLIDARIEDADE-SP,Sim,1,0,0
21775,Rubens Bueno      ,CIDADANIA-PR,Sim,1,0,0
21775,Pastor Eurico     ,PATRI-PE,Sim,1,0,0
21775,Renildo Calheiros ,PCdoB-PE,Obstrução,0,0,1
21775,Clarissa Garotinho,PROS-RJ,Obstrução,0,0,1
21775,Enrico Misasi     ,PV-SP,Sim,1,0,0
21775,Alencar S. Braga  ,PT-SP,Obstrução,0,0,1
21775,Joenia Wapichana  ,REDE-RR,Obstrução,0,0,1
21775,José Guimarães    ,PT-CE,Obstrução,0,0,1
21775,Maria do Rosário  ,PT-RS,Obstrução,0,0,1
21775,Nelson Pellegrino ,PT-BA,Obstrução,0,0,1
21775,Patrus Ananias    ,PT-MG,Obstrução,0,0,1
21775,Paulo Teixeira    ,PT-SP,Obstrução,0,0,1
21775,Danilo Cabral     ,PSB-PE,Obstrução,0,0,1
21775,João H. Campos    ,PSB-PE,Obstrução,0,0,1
21775,Júlio Delgado     ,PSB-MG,Não,0,1,0
21775,Luiz Flávio Gomes ,PSB-SP,Obstrução,0,0,1
21775,Talíria Petrone   ,PSOL-RJ,Obstrução,0,0,1
21775,Gilson Marques    ,NOVO-SC,Sim,1,0,0
21776,Bia Kicis         ,PSL-DF,Não,0,1,0
21776,Daniel Freitas    ,PSL-SC,Não,0,1,0
21776,Delegado Marcelo  ,PSL-MG,Não,0,1,0
21776,FelipeFrancischini,PSL-PR,Não,0,1,0
21776,Nicoletti         ,PSL-RR,Não,0,1,0
21776,Coronel Tadeu     ,PSL-SP,Não,0,1,0
21776,Chris Tonietto    ,PSL-RJ,Não,0,1,0
21776,Hiran Gonçalves   ,PP-RR,Não,0,1,0
21776,Margarete Coelho  ,PP-PI,Não,0,1,0
21776,Pedro Westphalen  ,PP-RS,Não,0,1,0
21776,Darci de Matos    ,PSD-SC,Não,0,1,0
21776,Deleg. Éder Mauro ,PSD-PA,Não,0,1,0
21776,Edilazio Junior   ,PSD-MA,Não,0,1,0
21776,Fábio Trad        ,PSD-MS,Não,0,1,0
21776,Stephanes Junior  ,PSD-PR,Não,0,1,0
21776,Bilac Pinto       ,DEM-MG,Não,0,1,0
21776,Geninho Zuliani   ,DEM-SP,Não,0,1,0
21776,Olival Marques    ,DEM-PA,Não,0,1,0
21776,Márcio Biolchi    ,MDB-RS,Não,0,1,0
21776,Darcísio Perondi  ,MDB-RS,Não,0,1,0
21776,Giovani Cherini   ,PR-RS,Não,0,1,0
21776,Marcelo Ramos     ,PR-AM,Não,0,1,0
21776,Sergio Toledo     ,PR-AL,Não,0,1,0
21776,Vicentinho Júnior ,PR-TO,Não,0,1,0
21776,João Campos       ,PRB-GO,Não,0,1,0
21776,João Roma         ,PRB-BA,Não,0,1,0
21776,Lafayette Andrada ,PRB-MG,Não,0,1,0
21776,Luizão Goulart    ,PRB-PR,Não,0,1,0
21776,Eduardo Cury      ,PSDB-SP,Não,0,1,0
21776,Paulo Abi-Ackel   ,PSDB-MG,Não,0,1,0
21776,Samuel Moreira    ,PSDB-SP,Não,0,1,0
21776,Shéridan          ,PSDB-RR,Não,0,1,0
21776,Maurício Dziedrick,PTB-RS,Não,0,1,0
21776,Afonso Motta      ,PDT-RS,Obstrução,0,0,1
21776,Eduardo Bismarck  ,PDT-CE,Obstrução,0,0,1
21776,Gil Cutrim        ,PDT-MA,Obstrução,0,0,1
21776,SubtenenteGonzaga ,PDT-MG,Obstrução,0,0,1
21776,José Medeiros     ,PODE-MT,Não,0,1,0
21776,Pr Marco Feliciano,PODE-SP,Não,0,1,0
21776,Rubens Bueno      ,CIDADANIA-PR,Não,0,1,0
21776,Renildo Calheiros ,PCdoB-PE,Obstrução,0,0,1
21776,Clarissa Garotinho,PROS-RJ,Obstrução,0,0,1
21776,Enrico Misasi     ,PV-SP,Não,0,1,0
21776,Alencar S. Braga  ,PT-SP,Obstrução,0,0,1
21776,José Guimarães    ,PT-CE,Obstrução,0,0,1
21776,Maria do Rosário  ,PT-RS,Obstrução,0,0,1
21776,Nelson Pellegrino ,PT-BA,Obstrução,0,0,1
21776,Patrus Ananias    ,PT-MG,Obstrução,0,0,1
21776,Rui Falcão        ,PT-SP,Obstrução,0,0,1
21776,Odair Cunha       ,PT-MG,Obstrução,0,0,1
21776,Danilo Cabral     ,PSB-PE,Obstrução,0,0,1
21776,João H. Campos    ,PSB-PE,Obstrução,0,0,1
21776,Júlio Delgado     ,PSB-MG,Obstrução,0,0,1
21776,Luiz Flávio Gomes ,PSB-SP,Obstrução,0,0,1
21776,Talíria Petrone   ,PSOL-RJ,Obstrução,0,0,1
21776,Gilson Marques    ,NOVO-SC,Não,0,1,0
21777,Bia Kicis         ,PSL-DF,Não,0,1,0
21777,Caroline de Toni  ,PSL-SC,Não,0,1,0
21777,Delegado Marcelo  ,PSL-MG,Não,0,1,0
21777,Delegado Waldir   ,PSL-GO,Não,0,1,0
21777,FelipeFrancischini,PSL-PR,Não,0,1,0
21777,Nicoletti         ,PSL-RR,Não,0,1,0
21777,Chris Tonietto    ,PSL-RJ,Não,0,1,0
21777,Aguinaldo Ribeiro ,PP-PB,Não,0,1,0
21777,Hiran Gonçalves   ,PP-RR,Não,0,1,0
21777,Margarete Coelho  ,PP-PI,Não,0,1,0
21777,Cacá Leão         ,PP-BA,Não,0,1,0
21777,Darci de Matos    ,PSD-SC,Não,0,1,0
21777,Deleg. Éder Mauro ,PSD-PA,Não,0,1,0
21777,Edilazio Junior   ,PSD-MA,Não,0,1,0
21777,Fábio Trad        ,PSD-MS,Não,0,1,0
21777,Stephanes Junior  ,PSD-PR,Não,0,1,0
21777,Bilac Pinto       ,DEM-MG,Não,0,1,0
21777,Geninho Zuliani   ,DEM-SP,Não,0,1,0
